issue key,oldest sprint start date,resolution date
PSIWMS-17608,27.02.2025,12.03.2025
PSIWMS-17581,27.02.2025,10.03.2025
PSIWMS-17559,29.01.2025,10.03.2025
PSIWMS-17558,29.01.2025,10.03.2025
PSIWMS-17557,29.01.2025,10.03.2025
PSIWMS-17556,29.01.2025,10.03.2025
PSIWMS-17555,29.01.2025,10.03.2025
PSIWMS-17554,29.01.2025,10.03.2025
PSIWMS-17553,27.02.2025,10.03.2025
PSIWMS-17552,27.02.2025,10.03.2025
PSIWMS-17551,27.02.2025,10.03.2025
PSIWMS-17550,27.02.2025,10.03.2025
PSIWMS-17549,27.02.2025,10.03.2025
PSIWMS-17540,27.02.2025,11.03.2025
PSIWMS-17534,27.02.2025,10.03.2025
PSIWMS-17511,27.02.2025,11.03.2025
PSIWMS-17502,17.02.2025,07.03.2025
PSIWMS-17499,17.02.2025,24.02.2025
PSIWMS-17497,17.02.2025,11.03.2025
PSIWMS-17493,17.02.2025,20.02.2025
PSIWMS-17488,29.01.2025,10.03.2025
PSIWMS-17487,17.02.2025,24.02.2025
PSIWMS-17485,17.02.2025,12.03.2025
PSIWMS-17484,27.02.2025,10.03.2025
PSIWMS-17483,17.02.2025,12.03.2025
PSIWMS-17480,17.02.2025,14.03.2025
PSIWMS-17479,17.02.2025,24.02.2025
PSIWMS-17478,17.02.2025,24.02.2025
PSIWMS-17477,17.02.2025,14.03.2025
PSIWMS-17474,17.02.2025,14.03.2025
PSIWMS-17473,17.02.2025,24.02.2025
PSIWMS-17472,17.02.2025,14.03.2025
PSIWMS-17471,17.02.2025,24.02.2025
PSIWMS-17469,17.02.2025,24.02.2025
PSIWMS-17468,17.02.2025,24.02.2025
PSIWMS-17467,17.02.2025,14.03.2025
PSIWMS-17466,17.02.2025,27.02.2025
PSIWMS-17462,27.02.2025,11.03.2025
PSIWMS-17460,27.02.2025,11.03.2025
PSIWMS-17459,27.02.2025,11.03.2025
PSIWMS-17457,27.02.2025,11.03.2025
PSIWMS-17456,27.02.2025,11.03.2025
PSIWMS-17455,27.02.2025,11.03.2025
PSIWMS-17451,27.02.2025,10.03.2025
PSIWMS-17449,17.02.2025,12.03.2025
PSIWMS-17448,17.02.2025,07.03.2025
PSIWMS-17443,17.02.2025,20.02.2025
PSIWMS-17442,17.02.2025,14.03.2025
PSIWMS-17441,17.02.2025,19.02.2025
PSIWMS-17440,17.02.2025,20.02.2025
PSIWMS-17439,17.02.2025,14.03.2025
PSIWMS-17438,27.02.2025,14.03.2025
PSIWMS-17436,17.02.2025,20.02.2025
PSIWMS-17435,17.02.2025,20.02.2025
PSIWMS-17434,17.02.2025,20.02.2025
PSIWMS-17433,17.02.2025,20.02.2025
PSIWMS-17431,17.02.2025,20.02.2025
